Tender,Company,Procurement,Notice,Location,Closing,Value,Date
"Dorset Care, Support, Housing and Community Safety Framework",Dorset Council,  Opportunity,  Open,  England,"  31 March 2032,  5pm","  £1,700,000,000","  21 March 2022, last edited 26 June 2023"
Operation NELSON Phase 2,Buckinghamshire Council,  Early engagement,  Open,  England,  20 September 2025,Publication date 20 June 2023,None
Home to School Transport and Adult Social Care Transport Dynamic Purchasing System (DPS),WIGAN COUNCIL,  Opportunity,  Open,  North West,"   4 July 2025,  5pm","  £32,000,000",  20 June 2023
"OJEU Notice For Dynamic Purchasing System (DPS) - Home to School, Special Educational Needs and Vulnerable Adult Passenger Transport Services version 2",Slough Borough Council,  Opportunity,  Open,  SL1 3UF,"  26 July 2026,  6pm",  £0,"   7 September 2018, last edited 15 June 2023"
Compliance Services & Associated Works Dynamic Purchasing System,Procurement For Housing,  Opportunity,  Open,  WA2 0YL,"  30 September 2025,  5pm","  £1 to £99,250,000","  20 August 2019, last edited 14 June 2023"
Adult Learning and Skills Activities in Community Settings DPS,Sheffield City Council,  Opportunity,  Open,  Yorkshire and the Humber,"  31 July 2027,  5pm","  £0 to £2,460,000",  14 June 2023
"Home to School Transport for children, young people and adults (4-25 years).",Dudley Metropolitan Borough Council,  Opportunity,  Open,  DY1 1HF,"  30 June 2027, 12pm",  £0,"   9 May 2023, last edited 13 June 2023"
"Zero Carbon - Consult, Design and Install - Dynamic Purchasing System DPS - Y21009",Commercial Services,  Opportunity,  Open,  Any region,"   3 June 2026,  2pm","  £400,000,000",   6 June 2023
Y20032 Dynamic Purchasing System for Power Purchase Agreement Providers,Kent County Council (t/a LASER),  Opportunity,  Open,  Any region,"  31 May 2026,  2pm","  £200,000,000",   6 June 2023
Recruitment services,Flagship Housing Group,  Opportunity,  Open,  Any region,"  23 May 2031,  2pm","  £10,000,000",   6 June 2023
"Dynamic Purchasing System (""DPS"") of Temporary Worker Agencies, and Interim Contractors/Consultants for Preferred Supplier Listing (""PSL"") Status for Dudley Metropolitan Borough Council - Y23017",Dudley and Kent Commercial Services (t/a Connect2Dudley),  Opportunity,  Open,  Any region,"   4 September 2028,  2pm","  £100,000,000",  31 May 2023
"Dynamic Purchasing System (DPS) of Temporary Agency, Contractor and Interim Agencies for Preferred Supplier Listing (PSL) Status for Luton Borough Council - Y21001",Luton and Kent Commercial Services LLP,  Opportunity,  Open,  Any region,"  30 January 2028,  2pm","  £150,000,000",  31 May 2023
Y22019 - Connect2Surrey - Dynamic Purchasing System of Temporary Worker Agencies and Interim Contractors/Consultants for Preferred Provider Listing status,Surrey & Kent Commercial Services LLP T/A Connect2Surrey (C2S),  Opportunity,  Open,  Any region,"  31 January 2028,  2pm","  £150,000,000",  31 May 2023
"Dynamic Purchasing System (DPS) of Temporary Agency, Contractor and Interim Agencies for Preferred  Supplier Listing (PSL) Status for Hampshire County Council - Y19013",Hampshire County Council and Kent Commercial Services t/a Connect2Hampshire - (C2H),  Opportunity,  Open,  Any region,"  31 March 2025,  2pm","  £150,000,000",  30 May 2023
Flexible Procurement System for the Provision of 16+ Supported Accommodation,Doncaster Council,  Opportunity,  Open,  Yorkshire and the Humber,"   2 July 2033, 12am",  £0,  26 May 2023
Lot 2 - Transforming Care Project Framework Agreement for Supported Living for Adults,Norfolk County Council,  Opportunity,  Open,  NR1 2DH,"  26 April 2025,  8:12am","  £200,000,000","  26 April 2023, last edited 25 May 2023"
"Dynamic Purchasing System (DPS) of Temporary Agency, Contractor and Interim Agencies for Preferred  Supplier Listing - Y20010",Commercial Services Kent Ltd,  Opportunity,  Open,  Any region,"  31 March 2025,  2pm","  £500,000,000",  24 May 2023
Dynamic Purchasing System for Alternative Education Provision,Worcestershire County Council,  Opportunity,  Open,  WR5 2NP,"  31 July 2028,  9:30am",  £0,  19 May 2023
London & Quadrant Housing Trust - Supply/Distribution of Ironmongery Dynamic Purchasing System (DPS),L&Q Construction,  Opportunity,  Open,  E15 4PH,"  18 May 2027,  6pm",  £0,  18 May 2023
Social Work Hub Recruitment Campaign,London Borough of Enfield,  Future opportunity,  Open,  Any region,Approach to market date  3 February 2025,"  £350,000",  18 May 2023
Alternative Education Rolling Select List,Suffolk County Council (Directorates),  Opportunity,  Open,  IP1 2BX,"  31 July 2025, 12pm","  £0 to £30,000,000","  16 May 2023, last edited 16 May 2023"
Products for the treatment of Haemophilia A,NHS ENGLAND,  Future opportunity,  Open,"  England, Scotland, Wales, Northern Ireland, Isle of Man, Channel Islands",Approach to market date  1 February 2026,"  £215,000,000",  11 May 2023
"Occupational Health, Employee Assistance Programmes and Eyecare Services 2",Crown Commercial Service,  Future opportunity,  Open,  United Kingdom,Approach to market date  2 December 2024,"  £220,000,000","   4 May 2023, last edited  4 May 2023"
Domiciliary Care Services - dynamic purchasing system,Portsmouth City Council,  Opportunity,  Open,  PO1 2AL,"   1 February 2025,  2pm","  £46,000,000 to £92,000,000","  23 October 2019, last edited  2 May 2023"
London & Quadrant Housing Trust- Logistics Dynamic Purchasing System (DPS),L&Q Construction,  Opportunity,  Open,  E15 4PH,"  29 November 2032,  2:52pm","  £0 to £5,000,000",   2 May 2023
Communication and Print DPS Framework,Sheffield City Council,  Opportunity,  Open,  Yorkshire and the Humber,"  30 April 2026, 11:30pm",  £0,   1 May 2023
Social Enterprise Dynamic Purchasing System,National Highways,  Opportunity,  Open,"  North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South East, South West","  29 May 2026, 12pm","  £65,000,000",  28 April 2023
Registered Social Landlords Dynamic Purchasing System (DPS) - Provision of Affordable General Needs and Specialist Housing,Doncaster Council,  Opportunity,  Open,  Yorkshire and the Humber,"  27 April 2028, 12pm",  £0,  28 April 2023
London & Quadrant Housing Trust- Carpentry Dynamic Purchasing System (DPS),L&Q Construction,  Opportunity,  Open,  E15 4PH,"   4 August 2032,  4:16pm","  £0 to £3,000,000",  26 April 2023
"London & Quadrant Housing Trust- Brick, Blockwork and Scaffolding Dynamic Purchasing System (DPS)",L&Q Construction,  Opportunity,  Open,  E15 4PH,"   3 August 2032,  3:27pm","  £0 to £5,000,000",  26 April 2023
London & Quadrant Housing Trust- Brickwork and Blockwork Dynamic Purchasing System (DPS),L&Q Construction,  Opportunity,  Open,  E15 4PH,"   3 August 2032,  2:50pm","  £0 to £5,000,000",  26 April 2023
London & Quadrant Housing Trust- Scaffolding Dynamic Purchasing System (DPS),L&Q Construction,  Opportunity,  Open,  E15 4PH,"   3 August 2032,  2:30pm","  £0 to £5,000,000",  26 April 2023
London & Quadrant Housing Trust- Mechanical Dynamic Purchasing System (DPS),L&Q Construction,  Opportunity,  Open,  E15 4PH,"   3 August 2032,  5pm","  £0 to £8,000,000","  26 April 2023, last edited 26 April 2023"
London & Quadrant Housing Trust- Electrical Dynamic Purchasing System (DPS),L&Q Construction,  Opportunity,  Open,  E15 4PH,"   3 August 2032, 10:29am","  £0 to £8,000,000",  26 April 2023
London & Quadrant Housing Trust- Mechanical and Electrical Combined Dynamic Purchasing System (DPS),L&Q Construction,  Opportunity,  Open,  E15 4PH,"   3 August 2032,  2:10pm","  £0 to £8,000,000",  26 April 2023
Research and Insights DPS,Crown Commercial Service,  Opportunity,  Open,  United Kingdom,"   1 November 2025, 12am","  £350,000,000","   3 November 2021, last edited 25 April 2023"
Holiday Activities & Food Programme (HAF) - DPS,London Borough of Sutton,  Opportunity,  Open,  England,"  31 December 2024, 12pm",  £0,  25 April 2023
2032-OJEU-DPS - Adaptations for Independent Living,East Suffolk Council,  Opportunity,  Open,  NR33 0EQ,"   3 May 2031,  5pm","  £0 to £20,000,000","  26 April 2021, last edited 21 April 2023"
DPS for Home To School Transport,Blackburn with Darwen,  Opportunity,  Open,  England,"  21 May 2027, 12pm","  £2,500,000 to £4,000,000",  21 April 2023
COV - Independent Children's Complaints Investigation DPS,Coventry City Council (COV),  Opportunity,  Open,  CV1 2GN,"  30 September 2024,  9am","  £165,000 to £170,000","   2 October 2019, last edited 19 April 2023"
Health and Social Care Network (HSCN) Access Services Extension,Crown Commercial Service,  Opportunity,  Open,  United Kingdom,"  21 May 2028, 12am","  £500,000,000","  12 January 2023, last edited 18 April 2023"
Lowestoft Dynamic Purchasing System,East Suffolk Council,  Opportunity,  Open,  IP12 1RT,"  20 April 2032,  2:13pm","  £0 to £150,000,000",  18 April 2023
Supported Living Framework re-opening August 2021,West Sussex County Council,  Opportunity,  Open,  PO19 1RQ,"  30 July 2029,  1:08pm",  £0,"  26 April 2022, last edited 14 April 2023"
Health Physics 3 DPS Qualification,Magnox Ltd,  Opportunity,  Open,  BS35 1RQ,"  31 March 2029, 12pm","  £107,000,000",   4 April 2023
BHIVE - Heat Networks Investment Vehicle,"Department for Business, Energy and Industrial Strategy (BEIS)",  Opportunity,  Open,  United Kingdom,"  31 March 2025, 11:59pm","  £150,000,000","   4 December 2020, last edited 31 March 2023"
Tactical Air Navigation (TACAN) and Direction Finder (DF) Systems,Ministry of Defence,  Future opportunity,  Open,  Any region,Approach to market date  1 November 2024,"  £8,000,000 to £10,000,000",  31 March 2023
Nursing Homes Preferred Provider List For Derby and Derbyshire ICB,NHS Derby & Derbyshire Integrated Care Board,  Opportunity,  Open,  DE1 3QT,"  31 July 2026,  5pm",  £0 to £1,  30 March 2023
CHC Nursing Home Beds Preferred Provider List- NHS BLMK ICB,"NHS Bedfordshire, Luton & Milton Keynes Integrated Care Board",  Opportunity,  Open,  LU1 2LJ,"  28 March 2030,  4pm",  £0 to £1,  30 March 2023
"A DPS for sustainable and ethically sourced goods and services, delivering social value in local communities",Bishop Wilkinson Catholic Education Trust,  Opportunity,  Open,  Any region,"   6 May 2028, 12am","  £0 to £500,000,000","   9 May 2022, last edited 29 March 2023"
"CHC Nursing Home Beds Preferred Provider List- NHS Bedfordshire, Luton and Milton Keynes ICB",EU SUPPLY LIMITED,  Opportunity,  Open,  Any region,"  28 March 2030,  4pm",  £0 to £1,"  18 July 2022, last edited 28 March 2023"
Nursing Homes Preferred Provider List For Derby and Derbyshire ICB,EU SUPPLY LIMITED,  Opportunity,  Open,  East Midlands,"  31 July 2026,  5pm",  £0 to £1,"   9 April 2021, last edited 28 March 2023"
Dynamic Purchasing System (DPS) for the Supply of Electric Vehicle Charging Infrastructure and Associated Services,Oxford City Council,  Opportunity,  Open,  OX1 1BX,"  31 August 2025, 12pm",  £0,"   8 December 2022, last edited 28 March 2023"
LPS CAS - Provision of Routine Grounds Maintenance Services - Dynamic Purchasing System - LCC 14079,Lancashire County Council,  Opportunity,  Open,  North West,"  18 September 2025, 10am","  £2,464,000","  21 September 2021, last edited 27 March 2023"
ASC22027 - Residential Replacement (Respite) Care for Older People,Worcestershire County Council,  Opportunity,  Open,  WR5 2NP,"  14 May 2026, 12pm",  £0,"  24 February 2023, last edited 17 March 2023"
Residential and Nursing Care DPS (Dynamic Purchasing System),West Northamptonshire Council,  Opportunity,  Open,  East Midlands,"  30 April 2033, 12pm","  £293,000,000 to £293,000,001",  17 March 2023
WCC - Dynamic Purchasing System (DPS) for the Provision of Bus Transport Services,Warwickshire County Council,  Opportunity,  Open,  West Midlands,"  17 March 2030, 12pm","  £150,000,000","  17 March 2023, last edited 17 March 2023"
NHS Health Checks DPS/Open Framework,East Riding of Yorkshire Council,  Opportunity,  Open,  HU17 9BA,"  31 March 2026,  4:30pm","  £1,000",  17 March 2023
Opportunities to Improve Attainment and Engage Vulnerable Children and Young People in Education,Staffordshire County Council,  Opportunity,  Open,  West Midlands,"  31 August 2024, 12pm","  £1 to £29,000,000","  11 May 2022, last edited 15 March 2023"
London and Quadrant Housing Trust - Supply/Distribution of Concrete Blocks Dynamic Purchasing System (DPS,L&Q Construction,  Opportunity,  Open,  E15 4PH,"  10 March 2027,  6pm",  £0,  10 March 2023
MMC Category 2: Panelised Housing Solutions,Procurement For Housing,  Opportunity,  Open,  WA2 0YL,"   5 May 2026,  4pm","  £1 to £600,000,000","   4 April 2022, last edited  3 March 2023"
P1071 - Recreational and Leisure Activities in Selected Parks,Birmingham City Council,  Opportunity,  Open,  B4 7WB,"  26 February 2027, 12pm",  £0,  28 February 2023
P0756A - Dynamic Purchasing System - Working with the private sector and private registered providers to deliver temporary accommodation solutions,Birmingham City Council,  Opportunity,  Open,  B4 7DJ,"  12 February 2025, 12pm","  £0 to £9,516,000","  13 February 2023, last edited 27 February 2023"
YPO - 001086 Apprenticeships,YPO,  Opportunity,  Open,  United Kingdom,"  31 July 2027, 11:59pm","  £3,000,000,000 to £10,000,000,000",  24 February 2023
NHS Generic Pharmaceuticals - Wave 15c - DLS & DNE,NHS England,  Future opportunity,  Open,  WA7 2ES,Approach to market date  1 September 2025,"  £260,000,000",  24 February 2023
NHS National Transition 2025_1,NHS England,  Future opportunity,  Open,  WA7 2ES,Approach to market date  1 December 2024,"  £20,000,000",  24 February 2023
NHS Generic Pharmaceuticals - Wave 15b - DCE & DSW,NHS England,  Future opportunity,  Open,  WA7 2ES,Approach to market date  1 February 2025,"  £205,833,000",  24 February 2023
NHS Generic Pharmaceuticals Wave 15a - DLN & DNW,NHS England,  Future opportunity,  Open,  WA7 2ES,Approach to market date  1 June 2024,"  £260,000,000",  24 February 2023
"Asset Decarbonisation and Retrofit Dynamic Purchasing System (E,W&NI)",Procurement For Housing,  Opportunity,  Open,  WA2 0YL,"  23 August 2027, 12pm","  £1 to £950,000,000","  23 July 2022, last edited 22 February 2023"
London and Quadrant Housing Trust -  Bricks Distributor Dynamic Purchasing System (DPS),L&Q Construction,  Opportunity,  Open,  E15 4PH,"  15 February 2027,  6pm",  £0,"  16 February 2023, last edited 16 February 2023"
London and Quadrant Housing Trust - Supply/Distribution of Internal Doors Dynamic Purchasing System (DPS),L&Q Construction,  Opportunity,  Open,  E15 4PH,"  15 February 2027,  6pm",  £0,  16 February 2023
"Children's Rights Service, Advocacy and Independent Visitors Scheme",Salford City Council,  Future opportunity,  Open,  England,Approach to market date  1 September 2028,"  £681,565",  15 February 2023
Supported Housing Market Warming,London Borough of Lewisham,  Early engagement,  Open,  SE6 4RU,  31 March 2027,Publication date 14 February 2023,None
Children in Care & Care Leavers Flexible DPS,London Borough of Sutton,  Opportunity,  Open,  United Kingdom,"   9 February 2030, 12pm",  £0,  10 February 2023
Digital Inclusion and Support Dynamic Purchasing System,Crown Commercial Service,  Opportunity,  Open,"  United Kingdom, Isle of Man, Channel Islands","  20 June 2024, 11:59pm","  £50,000,000","  26 May 2020, last edited 10 February 2023"
Dynamic Purchasing System for Supply of Temporary Workers,Opus People Solutions Ltd,  Opportunity,  Open,  IP1 2BX,"  27 January 2025,  4pm","  £60,000,000 to £140,000,000",   7 February 2023
Adult Influenza Vaccines - Secondary Care,NHS ENGLAND,  Future opportunity,  Open,"  England, Isle of Man, Channel Islands",Approach to market date  1 April 2025,"  £16,000,000","   4 October 2022, last edited  6 February 2023"
Grant Administration Services,Crown Commercial Service,  Opportunity,  Open,  United Kingdom,"  18 August 2024,  3pm","  £50,000,000","  20 August 2020, last edited  6 February 2023"
NHS Framework Agreement for the Supply of Human Normal Immunoglobulin & Anti-D Immunoglobulin,NHS ENGLAND,  Future opportunity,  Open,"  England, Scotland, Northern Ireland, Isle of Man, Channel Islands",Approach to market date  1 February 2025,"  £526,598,540","  17 March 2022, last edited  3 February 2023"
Mental Health Recovery,Rotherham Metropolitan Borough Council,  Opportunity,  Open,  S60 1AE,"   8 May 2028, 12am","  £20,000,000",  27 January 2023
Wakefield SEN Home to School Taxi & Minibus Contracts DPS,West Yorkshire Combined Authority,  Opportunity,  Open,  LS1 2DE,"  31 December 2027, 12am",  £0,  26 January 2023
Dynamic Purchasing System for the Provision of Passenger Transport (Taxis and Minibuses),South Tyneside Council,  Opportunity,  Open,  North East,"  11 June 2027, 12pm","  £15,000,000 to £18,000,000",  20 January 2023
LCC Transport DPS,Lincolnshire County Council,  Opportunity,  Open,  East of England,"   8 March 2030, 12pm","  £1,680,000,000","   8 March 2022, last edited 16 January 2023"
Consumer Insights DPS Framework Contract,ENERGY SYSTEMS CATAPULT LIMITED,  Early engagement,  Open,  United Kingdom,  31 December 2024,"Publication date  2 July 2020, last edited 12 January 2023",None
Adults with Disabilities Pseudo-DPS,EU SUPPLY LIMITED,  Opportunity,  Open,  S1 4PL,"  26 March 2033,  9am","  £0 to £500,000,000","  30 November 2022, last edited 12 January 2023"
SEND Independent School Placements - DPS,Milton Keynes Council,  Opportunity,  Open,  MK9 3EJ,"  21 September 2027, 12pm","  £36,000,000 to £36,400,000","  26 July 2022, last edited 11 January 2023"
YPO - 001148 Drones and Associated Services,YPO,  Opportunity,  Open,  England,"   5 March 2033, 11:59pm","  £5,000,000 to £500,000,000",   5 January 2023
Design Print and Related Services Dynamic Purchasing System (DPS) for the London Borough of Camden,London Borough of Camden,  Opportunity,  Open,  WC1H9JE,"  21 January 2029,  5pm","  £2,440,000",  23 December 2022
NHS North of England Branded Medicines - Tranche A- March 2025,NHS ENGLAND,  Future opportunity,  Open,  WA7 2ES,Approach to market date  1 September 2024,"  £82,000,000","  18 August 2022, last edited  8 December 2022"
NHS Midlands and East Branded Medicines - Tranche B - March 2025,NHS ENGLAND,  Future opportunity,  Open,  WA7 2ES,Approach to market date  1 September 2024,"  £245,768,251","  18 August 2022, last edited  8 December 2022"
NHS National Proprietary Pharmaceuticals - Category tender,NHS ENGLAND,  Future opportunity,  Open,  WA7 2ES,Approach to market date  1 November 2024,"  £428,000,000","  18 August 2022, last edited  8 December 2022"
NHS London Branded Medicines - Annual Tranche -September 2025,NHS England,  Future opportunity,  Open,  WA7 2ES,Approach to market date  1 March 2025,"  £106,823,682","  12 October 2022, last edited  8 December 2022"
NHS South of England Branded Medicines - Annual Tranche - September 2025,NHS England,  Future opportunity,  Open,  WA7 2ES,Approach to market date  1 March 2025,"  £153,551,719","  12 October 2022, last edited  8 December 2022"
NHS London Branded Medicines - Tranche B - September 2025,NHS England,  Future opportunity,  Open,  WA7 2ES,Approach to market date  1 March 2025,"  £150,000,000","  12 October 2022, last edited  8 December 2022"
NHS South of England Branded Medicines - Tranche A - September 2025,NHS England,  Future opportunity,  Open,  WA7 2ES,Approach to market date  1 March 2025,"  £54,000,000","  12 October 2022, last edited  8 December 2022"
NHS National Proprietary Pharmaceuticals,NHS ENGLAND,  Future opportunity,  Open,  WA7 2ES,Approach to market date  1 November 2025,"  £1,500,000,000","  18 August 2022, last edited  8 December 2022"
PLACE059 Passenger Transport DPS,Derbyshire County Council,  Opportunity,  Open,  East Midlands,"  28 November 2032, 11:59pm","  £300,000,000",   1 December 2022
Passenger Transport Dynamic Purchasing System,London Borough of Hackney,  Early engagement,  Open,  England,  30 November 2026,Publication date 29 November 2022,None
Dynamic Purchasing System for the Provision of Material Waste Reception Services in Lincolnshire,Lincolnshire County Council,  Opportunity,  Open,  England,"  17 November 2032, 11:59pm","  £20,000,000",  22 November 2022
London and Quadrant Housing Trust - Hoist Hire Dynamic Purchasing System (DPS),L&Q Construction,  Opportunity,  Open,  E15 4PH,"  18 November 2026,  6pm",  £0,  18 November 2022
London and Quadrant Housing Trust - Fuel Dynamic Purchasing System (DPS),L&Q Construction,  Opportunity,  Open,  E15 4PH,"  18 November 2026,  6pm",  £0,  18 November 2022
London and Quadrant Housing Trust - Skips (Waste Management) Dynamic Purchasing System(DPS),L&Q Construction,  Opportunity,  Open,  E15 4PH,"  17 November 2026,  6pm",  £0,  17 November 2022
LINC with Dounreay Registration,Dounreay Site Restoration Limited (DSRL),  Opportunity,  Open,  KW14 7TZ,"  19 December 2028, 12pm","  £2,000,000",  10 November 2022
Shropshire and Telford & Wrekin VCSE Mental Health Transformation,Midlands Partnership Foundation Trust,  Opportunity,  Open,  ST16 3AG,"   8 November 2026, 12pm",  £1 to £2,   9 November 2022
Non-Maintained and Independent Special Schools (NMISS) Placement Dynamic Purchasing System (DPS),London Borough of Merton,  Opportunity,  Open,  SM4 5DX,"   3 April 2028, 12pm","  £10,000,000",   7 November 2022
PURCON 1056 Create Growth DPS,University of East Anglia,  Opportunity,  Open,  NR4 7TJ,"  31 March 2025,  5pm",  £0,   3 November 2022
Adult Community Support and Enablement Service Framework,Barnsley Metropolitan Borough Council,  Opportunity,  Open,  Yorkshire and the Humber,"  30 July 2027, 12pm","  £0 to £62,279,285",  21 October 2022
Road Based Passenger Transport Services,Bracknell Forest Borough Council,  Opportunity,  Open,  England,"  28 November 2037, 11:59pm","  £12,000,000",   3 October 2022
16 + year old  Leaving Care & Vulnerable Young People Accommodation & Support Purchasing System,Wakefield Council,  Opportunity,  Open,  Yorkshire and the Humber,"  31 December 2032, 11:59pm","  £0 to £24,000,000",  28 September 2022
WSCC SB Reopening of the Framework for the Provision of Family and Community Support for Children and Young People with Severe and Complex Disabilities and/or Autism,West Sussex County Council,  Opportunity,  Open,  PO19 1RQ,"   4 September 2025, 12pm","  £4,500,000 to £5,000,000","   1 September 2021, last edited 16 September 2022"
WSCC GM Framework Reopening for the provision of Accommodation and Support for 16+ Older Looked After Young People and Care Leavers,West Sussex County Council,  Opportunity,  Open,  PO19 1RQ,"  29 August 2026, 12pm","  £44,000,000 to £45,000,000","   7 January 2022, last edited 16 September 2022"
WSCC AE Framework Reopening for Urgent and Specialist Personal Support Placements for Children's Services,West Sussex County Council,  Opportunity,  Open,  PO19 1RQ,"  26 February 2026, 12pm","  £8,500,000","   7 March 2022, last edited 16 September 2022"
COV - Work Related Learning  DPS 2021,Coventry City Council (COV),  Opportunity,  Open,  CV1 2GN,"  31 August 2026,  1pm","  £0 to £4,900,000","   1 April 2021, last edited 15 September 2022"
Worklessness Support Service,Wirral Borough Council,  Future opportunity,  Open,  United Kingdom,Approach to market date 14 January 2026,"  £3,840,000",  14 September 2022
Dynamic Purchasing System for Consultancy Services,PROCURE PLUS HOLDINGS LIMITED,  Opportunity,  Open,  United Kingdom,"   7 September 2028,  5pm","  £1 to £12,000,000",   8 September 2022
HCC - 09/22 - Dynamic Purchasing System (DPS) for the Provision of Local Bus and School Coach Transport Services,Hertfordshire County Council - Environment,  Opportunity,  Open,  SG13 8DE,"  30 November 2027, 12pm","  £40,000,000 to £80,000,000",   7 September 2022
YPO - 001117 Fleet Management DPS,YPO,  Opportunity,  Open,  England,"  31 October 2030, 11:59pm","  £500,000,000",  26 August 2022
"Building Works, Supplies and Services including specialists and consultancy",FLAGSHIP HOUSING GROUP LIMITED,  Opportunity,  Open,  East of England,"  15 October 2028,  2pm",  £1,  25 August 2022
Pan London Postal Contract,London Borough of Enfield,  Future opportunity,  Open,  England,Approach to market date 15 September 2026,"  £600,000","  22 February 2022, last edited 18 August 2022"
Construction Professional Services DPS,Crown Commercial Service,  Opportunity,  Open,  United Kingdom,"  28 October 2025, 12am","  £150,000,000","  30 September 2021, last edited 18 August 2022"
PT1331 2022 Passenger Transport - Dynamic Purchasing System,Wiltshire Council,  Opportunity,  Open,  England,"  30 November 2027, 12pm","  £0 to £500,000,000",  15 August 2022
London and Quadrant Housing Trust - Combined Mechanical and Electrical Dynamic Purchase System (DPS),L&Q Construction,  Opportunity,  Open,  E15 4PH,"  23 December 2024,  6pm",  £0,"  23 December 2020, last edited 11 August 2022"
North Forest District Planting and Forest Management DPS,Forestry England,  Opportunity,  Open,  Any region,"   2 August 2030, 12pm","  £10,000,000",   3 August 2022
The Micromobility Market and London's Micromobility Future,Transport for London,  Future opportunity,  Open,  England,Approach to market date  1 April 2025,  £0,   1 August 2022
DPS - Dynamic Supplier List: Asset Solutions,EASTERN PROCUREMENT LIMITED,  Opportunity,  Open,"  United Kingdom, Isle of Man, Channel Islands, British Oversea Territories, Europe, Rest of the World","  29 November 2025, 12pm","  £210,000,000","  18 April 2019, last edited 29 July 2022"
Adult Learning Classroom Provision 2022 - 2025,Wirral Borough Council,  Future opportunity,  Open,  Rest of the World,Approach to market date  2 June 2025,"  £500,000",  27 July 2022
Mobile Telephony Services,Croydon Council,  Future opportunity,  Open,  England,Approach to market date  1 August 2024,"  £100,000",  27 July 2022
Facilities Management DPS,Abri,  Opportunity,  Open,  SO50 6AD,"  14 May 2024, 11:59pm",  £0 to £1,"  15 May 2020, last edited 27 July 2022"
PAN2497 - Domestic Homicide Review Independent Chair and Author Services,Leicester City Council,  Opportunity,  Open,  East Midlands,"  17 June 2026, 12pm","  £120,000","   1 April 2022, last edited 26 July 2022"
Consultancy Services Dynamic Purchasing System (DPS),ENERGY SYSTEMS CATAPULT LIMITED,  Early engagement,  Open,  United Kingdom,  31 July 2026,Publication date 20 July 2022,None
"DPS for Voluntary, Charitable and Social Enterprises (VCSE's) for ad hoc and lower value Goods, Services and Works",Orbit Group Limited,  Opportunity,  Open,  England,"  18 April 2031, 11:59pm","  £5,000,000","   2 July 2021, last edited 14 July 2022"
The City of Liverpool College -  Dynamic Purchasing System (DPS) Marketing & Communications,The City of Liverpool College,  Opportunity,  Open,  L13 0BQ,"  31 July 2027, 12pm","  £15,000 to £150,000","   8 July 2022, last edited 13 July 2022"
New Ferry Development,Wirral Borough Council,  Future opportunity,  Open,  United Kingdom,Approach to market date  1 January 2025,"  £22,000,000",  13 July 2022
Floating Support Service (Generic),Wirral Borough Council,  Future opportunity,  Open,  United Kingdom,Approach to market date  6 June 2024,"  £537,308",  12 July 2022
Application to Join DPS for the Supply of Components to Shelforce -BCC2021002T-2,Birmingham City Council,  Opportunity,  Open,  West Midlands,"   4 May 2027, 12pm",  £0,   7 July 2022
NHS National Framework Agreement for the supply of products for the management of Hereditary Angioedema,NHS ENGLAND,  Future opportunity,  Open,"  England, Scotland, Wales, Northern Ireland, Isle of Man, Channel Islands",Approach to market date  1 February 2025,"  £74,500,000",   5 July 2022
NHS Framework Agreement for the Supply of Human Albumin,NHS ENGLAND,  Future opportunity,  Open,"  England, Northern Ireland, Isle of Man, Channel Islands",Approach to market date  1 December 2024,"  £30,000,000","  17 March 2022, last edited  2 July 2022"
"Dynamic Purchasing System for Design, Print and Related Services",Haringey,  Opportunity,  Open,  N22 7TR,"  27 July 2026,  5pm","  £2,000,000",  27 June 2022
Testing Solutions Dynamic Purchasing System (DPS),UK Health Security Agency,  Opportunity,  Open,  United Kingdom,"  11 June 2024, 12pm","  £2,000,000,000","  13 June 2022, last edited 23 June 2022"
LEARNING DISABILITY AND AUTISM PARTNERSHIPS BOARDS,Blackburn with Darwen,  Future opportunity,  Open,  England,Approach to market date  1 April 2025,"  £75,000",  20 June 2022
West England Forest District Planting and Maintenance DPS,Forestry England,  Opportunity,  Open,  Any region,"  15 June 2030, 12pm","  £8,000,000",  15 June 2022
Pseudo-DPS for Apprenticeship Training Provision,GATESHEAD COUNCIL,  Opportunity,  Open,  North East,"   1 July 2026, 12pm","  £3,250,000","  23 September 2021, last edited 10 June 2022"
Responsive Repairs and Voids Sub Contractors,First Choice Homes Oldham,  Opportunity,  Open,  North West,"  31 August 2032,  4pm","  £28,200,000",   8 June 2022
LEARNING AND TRAINING DPS (1),EU SUPPLY LIMITED,  Opportunity,  Open,  HU1 2AA,"  24 June 2030, 12am","  £32,000,000 to £50,000,000","  26 May 2022, last edited  7 June 2022"
NHS Health Checks - Approved Supplier List,Bristol City Council,  Early engagement,  Open,  South West,  31 March 2025,"Publication date  5 June 2020, last edited 16 May 2022",None
KMCCD-010 Standing List of Approved Contractors 2022-2027,Kirklees Council,  Opportunity,  Open,  Yorkshire and the Humber,"  15 January 2027,  4pm",  £0 to £1,  16 May 2022
Central Forest District Planting DPS,Forestry England,  Opportunity,  Open,  Any region,"  14 May 2030, 12pm","  £2,000,000",  12 May 2022
Wirral Advocacy Hub,Wirral Borough Council,  Future opportunity,  Open,  United Kingdom,Approach to market date  5 February 2025,"  £1,173,000",  11 May 2022
